cpu_processing,mem_processing,RESIDUE,            TPR,CLASS
0.862,0.852,-0.01,255,1
0.813,0.712,-0.101,255,1
0.717,0.716,-0.001,256,1
0.683,0.717,0.034,254,1
0.678,0.75,0.072,257,1
0.924,0.749,-0.175,257,1
0.862,0.746,-0.116,257,1
0.821,0.745,-0.076,257,1
0.798,0.747,-0.051,258,1
0.845,0.748,-0.097,258,1
0.956,0.743,-0.213,258,1
0.784,0.743,-0.041,258,1
0.842,0.742,-0.1,258,1
0.895,0.742,-0.153,258,1
0.924,0.74,-0.184,258,1
0.865,0.741,-0.124,259,1
0.853,0.739,-0.114,259,1
0.865,0.74,-0.125,259,1
0.921,0.74,-0.181,259,1
0.865,0.741,-0.124,259,1
0.834,0.741,-0.093,259,1
0.846,0.741,-0.105,259,1
0.798,0.743,-0.055,259,1
0.901,0.744,-0.157,258,1
0.89,0.743,-0.147,258,1
0.864,0.743,-0.121,258,1
0.833,0.743,-0.09,258,1
0.892,0.744,-0.148,258,1
0.924,0.735,-0.189,256,1
0.857,0.739,-0.118,256,1
0.865,0.738,-0.127,256,1
0.962,0.739,-0.223,257,1
0.845,0.745,-0.1,256,1
0.864,0.749,-0.115,258,1
0.789,0.75,-0.039,259,1
0.858,0.749,-0.109,259,1
0.896,0.751,-0.145,260,1
0.912,0.757,-0.155,260,1
0.856,0.757,-0.099,260,1
0.845,0.757,-0.088,260,1
0.882,0.757,-0.125,260,1
0.879,0.755,-0.124,260,1
0.902,0.756,-0.146,260,1
0.865,0.758,-0.107,261,1
0.889,0.758,-0.131,261,1
0.824,0.757,-0.067,261,1
0.869,0.758,-0.111,261,1
0.904,0.758,-0.146,261,1
0.875,0.76,-0.115,262,1
0.928,0.791,-0.137,263,1
0.854,0.786,-0.068,263,1
0.865,0.783,-0.082,263,1
0.798,0.78,-0.018,263,1
0.853,0.781,-0.072,261,1
0.895,0.777,-0.118,261,1
0.882,0.776,-0.106,261,1
0.865,0.769,-0.096,262,1
0.915,0.769,-0.146,262,1
0.924,0.771,-0.153,262,1
0.862,0.773,-0.089,263,1
0.821,0.771,-0.05,264,1
0.798,0.772,-0.026,264,1
0.845,0.77,-0.075,264,1
0.956,0.773,-0.183,265,1
0.784,0.773,-0.011,265,1
0.842,0.799,-0.043,262,1
0.895,0.8,-0.095,254,1
0.924,0.796,-0.128,263,1
0.865,0.795,-0.07,268,1
0.853,0.792,-0.061,262,1
0.865,0.792,-0.073,259,1
0.921,0.791,-0.13,254,1
0.865,0.781,-0.084,260,1
0.834,0.781,-0.053,250,1
0.846,0.781,-0.065,254,1
0.798,0.781,-0.017,261,1
0.901,0.78,-0.121,246,1
0.89,0.809,-0.081,253,1
0.864,0.828,-0.036,253,1
0.813,0.829,0.016,265,1
0.892,0.819,-0.073,264,1
0.924,0.805,-0.119,253,1
0.857,0.883,0.026,204,1
0.865,0.892,0.027,248,1
0.962,0.882,-0.08,261,1
0.845,0.881,0.036,246,1
0.864,0.881,0.017,254,1
0.789,0.874,0.085,261,1
0.858,0.87,0.012,243,1
0.896,0.87,-0.026,252,1
0.912,0.87,-0.042,236,1
0.856,0.868,0.012,264,1
0.845,0.853,0.008,245,1
